"id","created_at","source","is_retweet","text_len"
1215859112271077378,"Sat Jan 11 04:52:56 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1215859658591744000,"Sat Jan 11 04:55:06 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1215860053900759043,"Sat Jan 11 04:56:41 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1215991304448020480,"Sat Jan 11 13:38:13 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1215998705557475328,"Sat Jan 11 14:07:38 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1216000651475460099,"Sat Jan 11 14:15:22 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,139
1216001273725685761,"Sat Jan 11 14:17:50 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,85
1216004241418047488,"Sat Jan 11 14:29:38 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1216005816710500352,"Sat Jan 11 14:35:53 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1216105951905882113,"Sat Jan 11 21:13:47 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1216114135529902081,"Sat Jan 11 21:46:18 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1216114167108849665,"Sat Jan 11 21:46:26 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1216120362230067202,"Sat Jan 11 22:11:03 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1216130169477439488,"Sat Jan 11 22:50:01 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1216210166905016321,"Sun Jan 12 04:07:54 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,23
1216211286108921858,"Sun Jan 12 04:12:21 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,139
1216212972391096320,"Sun Jan 12 04:19:03 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,54
1216236299868344320,"Sun Jan 12 05:51:45 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1216346514857086976,"Sun Jan 12 13:09:42 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1216346548352831488,"Sun Jan 12 13:09:50 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,139
1216346666254716929,"Sun Jan 12 13:10:18 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,139
1216347531321446400,"Sun Jan 12 13:13:44 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,117
1216351262742061056,"Sun Jan 12 13:28:34 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1216356280933273600,"Sun Jan 12 13:48:30 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,139
1216358707510071301,"Sun Jan 12 13:58:09 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1216360697426337792,"Sun Jan 12 14:06:03 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,139
1216365925701705730,"Sun Jan 12 14:26:50 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,139
1216365930009284614,"Sun Jan 12 14:26:51 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1216365931804479488,"Sun Jan 12 14:26:51 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,121
1216380599457452034,"Sun Jan 12 15:25:08 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1216380858288037888,"Sun Jan 12 15:26:10 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,44
1216381908717854720,"Sun Jan 12 15:30:20 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1216392879213555714,"Sun Jan 12 16:13:56 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,125
1216399515948867588,"Sun Jan 12 16:40:18 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1216400564071936001,"Sun Jan 12 16:44:28 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1216426942733389825,"Sun Jan 12 18:29:17 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1216426951163949058,"Sun Jan 12 18:29:19 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,139
1216429943925723139,"Sun Jan 12 18:41:13 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1216435180220620807,"Sun Jan 12 19:02:01 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1216443992780558338,"Sun Jan 12 19:37:02 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,23
1216444224813654018,"Sun Jan 12 19:37:58 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,23
1216444337220964352,"Sun Jan 12 19:38:25 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,23
1216448547777908737,"Sun Jan 12 19:55:08 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1216506722153639942,"Sun Jan 12 23:46:18 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,144
1216540493821239296,"Mon Jan 13 02:00:30 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1216608767833407489,"Mon Jan 13 06:31:48 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1216716337822695425,"Mon Jan 13 13:39:15 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1216716358676860928,"Mon Jan 13 13:39:20 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1216724007992594433,"Mon Jan 13 14:09:43 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1216724132307533824,"Mon Jan 13 14:10:13 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1216724248217124865,"Mon Jan 13 14:10:41 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1216724847209918464,"Mon Jan 13 14:13:03 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1216725323049525249,"Mon Jan 13 14:14:57 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,132
1216743062543663105,"Mon Jan 13 15:25:26 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1216748556561866755,"Mon Jan 13 15:47:16 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1216750167954804736,"Mon Jan 13 15:53:40 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,139
1216750448641826816,"Mon Jan 13 15:54:47 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1216750623858753537,"Mon Jan 13 15:55:29 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1216751046288166913,"Mon Jan 13 15:57:10 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1216754098382524422,"Mon Jan 13 16:09:17 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1216755243712643073,"Mon Jan 13 16:13:50 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1216774903036334080,"Mon Jan 13 17:31:58 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1216789831419867141,"Mon Jan 13 18:31:17 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1216871626282688512,"Mon Jan 13 23:56:18 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1216872069591289858,"Mon Jan 13 23:58:04 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1216954477783048193,"Tue Jan 14 05:25:32 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,85
1216961142867681280,"Tue Jan 14 05:52:01 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,34
1216961460363939841,"Tue Jan 14 05:53:16 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,139
1217212290992242688,"Tue Jan 14 22:29:59 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,133
1217224049614520320,"Tue Jan 14 23:16:43 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,110
1217228960964038658,"Tue Jan 14 23:36:13 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1217231373011865600,"Tue Jan 14 23:45:49 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1217274316179607553,"Wed Jan 15 02:36:27 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,70
1217276075996274688,"Wed Jan 15 02:43:27 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,45
1217277670528110592,"Wed Jan 15 02:49:47 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1217278713500459009,"Wed Jan 15 02:53:55 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,148
1217284784252080128,"Wed Jan 15 03:18:03 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1217294449228709888,"Wed Jan 15 03:56:27 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1217294465452236800,"Wed Jan 15 03:56:31 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,102
1217300700440301574,"Wed Jan 15 04:21:17 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1217301903744176128,"Wed Jan 15 04:26:04 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,144
1217301996908101634,"Wed Jan 15 04:26:27 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,144
1217303398636126210,"Wed Jan 15 04:32:01 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,124
1217307023873802242,"Wed Jan 15 04:46:25 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,106
1217308948937789440,"Wed Jan 15 04:54:04 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,139
1217310443326398466,"Wed Jan 15 05:00:00 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,139
1217311133520011265,"Wed Jan 15 05:02:45 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1217319213934829568,"Wed Jan 15 05:34:51 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1217319335879901184,"Wed Jan 15 05:35:21 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,139
1217319558710734849,"Wed Jan 15 05:36:14 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1217320124438515712,"Wed Jan 15 05:38:29 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1217320305468878848,"Wed Jan 15 05:39:12 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,139
1217320394190966784,"Wed Jan 15 05:39:33 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1217321896808722432,"Wed Jan 15 05:45:31 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1217323193645649921,"Wed Jan 15 05:50:40 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,79
1217323592477745153,"Wed Jan 15 05:52:15 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1217324146524401664,"Wed Jan 15 05:54:27 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1217326588590809088,"Wed Jan 15 06:04:10 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1217326903654305792,"Wed Jan 15 06:05:25 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1217326973443346432,"Wed Jan 15 06:05:41 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1217327146747727872,"Wed Jan 15 06:06:23 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1217327305749663745,"Wed Jan 15 06:07:01 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,139
1217329023182872576,"Wed Jan 15 06:13:50 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1217330216151941121,"Wed Jan 15 06:18:35 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,131
1217455696637235201,"Wed Jan 15 14:37:11 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1217455748919316485,"Wed Jan 15 14:37:24 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1217469828656701442,"Wed Jan 15 15:33:21 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,133
1217489319641915394,"Wed Jan 15 16:50:48 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,88
1217610329821237248,"Thu Jan 16 00:51:39 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,47
1217625836976820224,"Thu Jan 16 01:53:16 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,95
1217667857330380800,"Thu Jan 16 04:40:15 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1217804029599920128,"Thu Jan 16 13:41:21 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,139
1217808535091916800,"Thu Jan 16 13:59:15 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,139
1217825047102066688,"Thu Jan 16 15:04:51 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1217827468230434818,"Thu Jan 16 15:14:29 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,140
1217827840902815745,"Thu Jan 16 15:15:58 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1217827941238870016,"Thu Jan 16 15:16:21 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1217828008016388096,"Thu Jan 16 15:16:37 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1217828088723185664,"Thu Jan 16 15:16:57 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1217828320752144385,"Thu Jan 16 15:17:52 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1217829227032125441,"Thu Jan 16 15:21:28 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1217829236779757569,"Thu Jan 16 15:21:30 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1217829249979179015,"Thu Jan 16 15:21:34 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1217829723222478848,"Thu Jan 16 15:23:26 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,49
1217836310657892353,"Thu Jan 16 15:49:37 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,111
1217838753810669568,"Thu Jan 16 15:59:19 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,119
1217909231946477575,"Thu Jan 16 20:39:23 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,53
1217927213179338758,"Thu Jan 16 21:50:50 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,40
1217962723234983937,"Fri Jan 17 00:11:56 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1217964040007430144,"Fri Jan 17 00:17:10 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1217964048190517248,"Fri Jan 17 00:17:12 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1217965436119191553,"Fri Jan 17 00:22:43 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,49
1217985357553315841,"Fri Jan 17 01:41:52 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,77
1218009283402633217,"Fri Jan 17 03:16:57 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1218010254685982722,"Fri Jan 17 03:20:48 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,139
1218010753434820614,"Fri Jan 17 03:22:47 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1218159531554897920,"Fri Jan 17 13:13:59 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,140
1218159995860275200,"Fri Jan 17 13:15:49 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,139
